HA_segID,RBS_23SLN,RBS_26SLN,ENZ_23SLN,ENZ_26SLN,SBS_23SLN,SBS_26SLN,multi_23,multi_26
KR063683,-30.3918015,-32.57011621,-31.35736,-22.19841,-37.20083,-31.81174,953.0066607,723.0047934
EPI808985,-30.93055192,-33.4593871,-31.29922,-22.17899,-37.17301,-31.75048,968.1021493,742.0954119
EPI553284,-26.47218806,-34.19367245,-31.22942,-22.10619,-37.19737,-31.90328,826.7110792,755.89182
EPI553223,-25.87277954,-33.13524804,-31.22872,-22.09611,-37.19874,-31.9182,807.9737879,732.1600856
EPI953360,-31.38341694,-35.24558288,-31.0266,-21.89951,-36.95299,-31.52391,973.720724,771.8609947
EPI438865,-38.67552029,-40.63961694,-30.9438,-21.7008,-37.12716,-31.71762,1196.767565,881.9121993
EPI503529,-38.20195248,-42.69245927,-27.44049,-23.28669,-32.81854,-32.57499,1048.280295,994.1660644
EU420038,-36.69193088,-41.77317094,-19.96619,-28.32867,-32.88993,-33.2786,732.5980634,1183.378374
EPI527313,-38.5168241,-40.94881347,-31.56836,-22.45576,-37.55238,-32.2115,1215.912969,919.5367276
GQ338084,-35.42282795,-38.68698309,-31.18553,-22.07683,-37.41333,-32.12586,1104.679664,854.0859489
EPI425779,-35.75884765,-40.28912062,-31.22188,-22.03982,-29.91164,-26.33277,1116.45845,887.9649664
LC497217,-35.97891665,-40.34467704,-31.23835,-21.90596,-24.29607,-17.67773,1123.921991,883.7888815
EPI898113,-35.63382244,-40.19847549,-31.58977,-22.454,-30.10537,-26.47781,1125.664255,902.6165687
EPI621165,-35.63382244,-40.19847549,-31.20434,-22.09382,-29.98144,-26.21581,1111.929911,888.1378818
KM267876,-38.25433182,-40.8342755,-31.25293,-22.19151,-39.36217,-33.82394,1195.559955,906.1742331
MW676352,-37.52200228,-40.64284677,-31.19616,-22.08456,-37.4478,-32.15362,1170.542387,897.5793881
EPI1273038,-35.32451111,-39.8567116,-31.56881,-22.42366,-29.97908,-26.40295,1115.15278,893.7333496
EPI375432,-26.49202714,-25.94122884,-31.36196,-22.2189,-29.91467,-26.34455,830.8418955,576.3855695
EPI898328,-35.64793006,-40.0542891,-31.23065,-21.99439,-40.35557,-36.12156,1113.308027,880.9696556
EPI347304,-26.55562933,-25.88006848,-32.51525,-36.45091,-31.73338,-37.34953,863.4629266,943.352047
EPI372247,-36.02926285,-40.93847939,-30.76932,-21.4284,-36.98116,-31.61447,1108.595918,877.2461118
LC167758,-36.02848004,-40.8264649,-31.25201,-21.92843,-30.02912,-26.60956,1125.962418,895.2602777
MW676351,-35.94996773,-40.3823669,-31.22738,-22.10775,-37.41397,-32.119,1122.623303,892.7632718
EPI382220,-36.2081848,-41.30153215,-31.41478,-22.27072,-37.38579,-32.10556,1137.47216,919.8148581
EPI965052,-38.3769261,-40.6503403,-31.72263,-22.60415,-37.3211,-31.96163,1217.417027,918.8663897
EPI425168,-36.21080517,-40.82055778,-31.37508,-22.25119,-18.64669,-17.49379,1136.116909,908.3059871
EPI567089,-35.84944085,-40.47624742,-31.55055063,-22.33236916,-35.98393978,-31.83357358,1131.069599,903.9304996
EPI567109,-35.84944085,-40.47624742,-31.55055063,-22.33236916,-35.98393978,-31.83357358,1131.069599,903.9304996
MN378545,-36.39675736,-38.84224194,-25.31246,-19.39446,-32.29726,-35.06211,921.2914648,753.3243076
EPI574125,-30.93055192,-33.4593871,-31.29922,-22.17899,-37.17301,-31.75048,968.1021493,742.0954119
EPI827077,-30.93055192,-33.4593871,-31.29922,-22.17899,-37.17301,-31.75048,968.1021493,742.0954119
EPI809000,-30.93055192,-33.4593871,-31.38795,-22.27886,-39.72038,-33.40744,970.8466171,745.4370009
EPI808973,-30.93055192,-33.4593871,-31.3713,-22.25788,-39.61656,-33.36288,970.3316234,744.7350229
EPI808937,-30.93055192,-33.4593871,-31.29922,-22.17899,-37.17301,-31.75048,968.1021493,742.0954119
EPI361815,-37.44279736,-40.15794404,-20.01496,-28.45333,-32.88012,-33.07162,749.4160914,1142.627234
OL372151,-38.06412964,-40.73350782,-35.88287,-30.0398,-38.91986,-39.07859,1365.850216,1223.626428
OL371967,-38.47939847,-40.73895644,-25.1917,-19.26657,-32.2868,-35.05579,969.3614624,784.899956
EPI616464,-37.70682605,-40.23860652,-31.11445,-22.0136,-39.20573,-33.61453,1173.227154,885.7965885
EPI442086,-38.01924635,-40.25524826,-36.14589,-30.02829,-39.09669,-39.26562,1374.239496,1208.796269
EPI816853,-37.32448268,-38.75379462,-36.9038,-24.16149,-33.15822,-32.48994,1377.415244,936.3494212
EPI438873,-36.02289099,-41.11175286,-32.09561,-22.59498,-37.10737,-31.76416,1156.17666,928.9192336
MH127649,-37.22183464,-37.35782632,-31.68369,-22.45994,-29.88703,-26.33234,1179.32507,839.0545377
EPI616009,-38.25776636,-40.48120118,-31.52748,-22.40322,-39.36993,-33.76204,1206.170964,906.9092559
MH546307,-38.33836732,-40.58905304,-35.77194,-29.83655,-38.82631,-38.99154,1371.437775,1211.03731
EPI433890,-38.26779554,-40.45264801,-35.79249,-29.90839,-38.81939,-38.97421,1369.699689,1209.873573
EPI467792,-38.28497141,-40.39736421,-31.6617,-22.52074,-39.23461,-34.05758,1212.167279,909.7785361
EPI510508,-38.22125299,-40.38743987,-36.21353,-30.17422,-38.95375,-39.10532,1384.126492,1218.659496
MK237194,-38.2231314,-40.56386782,-35.83925,-29.90576,-38.82427,-38.98231,1369.888362,1213.093296
MH546587,-38.2231314,-40.56386782,-20.53575,-25.33115,-45.32205,-45.69934,784.9406706,1027.52942
MH546667,-38.2231314,-40.56386782,-38.56599,-23.47907,-32.98704,-32.62007,1474.112903,952.401892
MH546699,-38.2231314,-40.56386782,-31.45284,-22.33875,-38.4003,-32.80688,1202.226036,906.1461023
MH546627,-38.2231314,-40.56386782,-27.367,-23.18204,-32.78076,-32.5379,1046.052437,940.3532064
MH546907,-38.3691802,-40.43122889,-35.78789,-29.96095,-38.99715,-39.13947,1373.152,1211.358027
EPI734430,-38.2226391,-40.51467481,-35.72761,-29.75132,-38.82968,-38.98168,1365.603543,1205.365055
EPI616343,-38.24357099,-40.48924184,-35.816,-29.96223,-38.94197,-39.08574,1369.731739,1213.147977
MH546195,-38.25972234,-40.44545275,-27.63758,-23.45616,-33.03529,-32.78775,1057.406137,948.695011
EPI331910,-38.69545696,-40.87955358,-25.48966,-19.736,-32.42102,-35.20469,986.3340415,806.7988695
MW873718,-38.06362393,-40.47393507,-35.78466,-30.03134,-38.97983,-39.11509,1362.093841,1215.486505
EPI734760,-38.38606933,-40.73597471,-27.64525,-23.48917,-33.03318,-32.78063,1061.192483,956.8542351
EPI966402,-38.65535009,-40.98994315,-35.84489,-29.91413,-38.98077,-39.13345,1385.596772,1226.178488
KT327395,-38.243681,-41.29116864,-35.54035,-29.47803,-38.80735,-38.972,1359.193808,1217.182308
EPI372267,-38.29475323,-40.64016987,-35.63117,-29.65824,-38.87598,-39.00715,1364.486862,1205.315912
EPI890043,-38.40841078,-40.57603626,-24.82385,-18.92631,-32.13683,-34.94303,953.4446279,767.9546408
EPI889629,-38.28944683,-40.64021377,-24.79564,-18.92944,-32.13745,-34.94358,949.4113394,769.2964881
EPI718526,-38.34044038,-40.52964967,-35.45697,-29.39278,-38.64259,-38.73538,1359.435844,1191.279076
EPI965813,-38.44492133,-40.71558992,-25.37968,-19.48263,-32.40514,-35.20269,975.719801,793.2467736
EPI576384,-38.53900432,-41.3681424,-28.530419,-8.864615,-28.281393,-28.937299,1099.533941,366.7126556
MW333774,-38.40830388,-41.60512784,-28.794093,-9.058811,-28.448389,-29.085344,1105.932274,376.8929897
FJ390061,-38.36656788,-40.58344388,-15.12654,-24.70407,-32.12048,-33.00902,580.3534237,1002.576238
EPI813004,-38.53421926,-40.68682577,-25.3762,-19.47929,-32.38002,-35.19764,977.8520548,792.5504784
EPI579937,-38.35274156,-40.57994382,-35.68579,-29.79354,-38.95021,-39.07924,1368.647881,1209.020179
EPI401775,-38.35274156,-40.57994382,-35.83529,-29.89801,-38.93142,-39.07823,1374.381616,1213.259566
MT406809,-38.35274156,-40.57994382,-20.48275,-25.26759,-45.38499,-45.76744,785.5696172,1025.357383
MH546571,-38.46890794,-40.7564421,-35.79379,-29.95724,-38.95352,-39.0827,1376.948012,1220.950518
EPI682906,-38.37911245,-40.71975597,-35.81698,-29.96656,-38.98056,-39.11159,1374.623903,1220.23101
EPI965896,-38.43533128,-40.83781516,-25.36716,-19.43692,-32.37495,-35.18553,974.9951982,793.7613462
MW386777,-38.30099828,-40.61376802,-25.25117,-19.50522,-34.82562,-32.38203,967.1450187,792.1804803
EPI512543,-38.57192487,-40.86157386,-25.58734,-19.66009,-32.47229,-35.29495,986.9529561,803.3422196
EPI512589,-38.53847549,-40.86980928,-35.83251,-29.9419,-38.95435,-39.0862,1380.930308,1223.719742
MH546675,-38.53847549,-40.86980928,-35.79379,-29.95724,-38.95352,-39.0827,1379.438099,1224.346685
EPI387140,-38.53847549,-40.86980928,-35.77456,-29.94235,-38.9338,-39.09691,1378.697004,1223.738134
EPI890664,-38.345419,-40.66601881,-35.80796,-29.86752,-38.91738,-39.07727,1373.07123,1214.59313
MH546163,-38.5839257,-40.88502877,-35.78789,-29.96095,-38.99715,-39.13947,1380.837289,1224.954303
EPI889605,-38.39910517,-40.61024553,-35.49685,-29.61979,-38.81605,-38.96675,1363.047276,1202.866944
MK071388,-37.91863367,-40.79933537,-25.78082,-20.0309,-32.4614,-35.27198,977.5734693,817.2474069
MH546659,-38.33251399,-40.57713133,-35.5549,-29.73092,-38.8164,-38.96351,1362.908702,1206.395445
EPI3434234,-38.40252229,-40.77893432,-27.58212,-23.39339,-32.7958,-32.56065,1059.222978,953.9575143
EPI3406528,-38.45411716,-40.80653701,-20.93869,-25.79104,-45.47032,-45.83595,805.1788384,1052.443028
EPI573171,-38.13252308,-39.99646072,-28.559142,-8.835516,-28.297386,-28.942593,1089.032141,353.3893686
MH546339,-38.59105995,-40.8026515,-35.95737,-30.08793,-39.06281,-39.20843,1387.633021,1227.667322
KJ018200,-38.59105995,-40.8026515,-35.94108,-30.08976,-39.06813,-39.21375,1387.004373,1227.741991
EPI812805,-37.08726166,-40.43508512,-35.69532,-29.76157,-38.75932,-38.90709,1323.841673,1203.411616
MH013211,-38.22339497,-40.70841709,-35.32885,-29.50208,-38.82112,-38.95358,1350.388587,1200.982978
MH251211,-38.70785332,-41.16049431,-35.84443,-29.9054,-38.93738,-39.07776,1387.460939,1230.921047
EPI954435,-43.71075719,-44.69484776,-20.45846,-28.50942,-33.09493,-33.21078,894.2547775,1274.224187
EPI387350,-38.82706678,-41.1490007,-35.93212,-30.01097,-38.99224,-39.13801,1395.138823,1234.921426
EPI3364124,-38.47860287,-41.04129393,-35.53203,-29.73709,-33.99815,-35.02883,1367.222872,1220.448651
EPI893474,-37.92147288,-39.08771039,-31.45131,-22.33883,-38.23007,-36.12733,1192.679999,873.1737175
EPI448095,-38.40909744,-40.68547184,-20.13229,-28.19138,-32.73518,-32.9369,773.2630883,1146.979597
EPI4329,-38.59105857,-40.79554276,-20.42376,-28.5815,-32.806,-32.92737,788.1745184,1165.997805
EPI448087,-38.34439242,-40.63781976,-31.21767,-22.03062,-37.16432,-31.82359,1197.022589,895.2763648
EPI590612,-38.90178342,-41.13105497,-36.604182,-29.9655275,-38.9187062,-38.9531687,1423.96796,1232.513759
EPI3277624,-38.75607233,-41.21584375,-27.51761,-23.33349,-32.93112,-32.69783,1066.474484,961.709478
MH546243,-38.83203837,-41.18364348,-35.71389,-29.82382,-38.95165,-39.0844,1386.843147,1228.25357
EPI662681,-38.20528598,-41.30831678,-35.81456,-29.95725,-38.94765,-39.09569,1368.305507,1237.483573
MW333038,-38.20528598,-41.30831678,-35.6153,-29.61008,-38.78928,-38.9838,1360.692722,1223.142565
EPI690131,-38.20528598,-41.30831678,-28.806882,-9.220309,-28.450787,-29.101973,1100.575165,380.875445
EPI853979,-38.20528598,-41.30831678,-31.43297,-22.2947,-39.30077,-34.01584,1200.905608,920.9565301
MW333558,-38.20528598,-41.30831678,-28.817595,-9.176177,-28.440758,-29.086816,1100.984458,379.0524263
EPI510643,-38.93212036,-41.01783726,-39.19637775,-32.36721199,-35.19066314,-40.00917254,1525.998096,1327.633034
EPI953553,-36.7623973,-38.74532413,-35.83538,-29.90595,-38.81826,-38.98959,1317.394477,1158.715726
EPI355443,-35.58839527,-40.27454177,-31.12203,-22.03408,-37.38023,-32.12071,1107.583105,887.4124753
MW676300,-37.11220878,-39.95894023,-23.8905656,-20.6339268,-33.0114727,-38.1142913,886.6316584,824.5098477
GU052089,-38.98215626,-41.08608076,-22.45123,-29.43789,-33.20301,-33.37602,875.1973561,1209.487526
EPI1008836,-13.45247605,-9.882898252,-20.51618,-25.65903,-45.18763,-45.54657,275.9934201,253.5855827
EPI454866,-36.77223117,-39.17052608,-24.50389,-18.5262,-28.75593,-35.57973,901.0627076,725.6810003
OP782324,-37.86618405,-37.70817633,-32.91781,-36.44582,-31.67753,-36.99255,1246.471852,1374.305407
KC703342,-37.95945956,-40.71035344,-35.42680814,-29.7230044,-26.75909179,-26.58259153,1344.782491,1210.034014
EU294369,-38.6317024,-40.56982446,-19.99025,-28.42201,-32.72249,-33.65821,772.2573889,1153.075957
OL371319,-37.7784561,-40.49710739,-36.16163,-30.18385,-39.30919,-39.40968,1366.130551,1222.358615
EPI448231,-36.95906862,-38.43585951,-24.13406,-20.68663,-37.14106,-31.86425,891.9723796,795.1084044
MK392500,-38.41857347,-40.69046004,-31.15378,-21.88243,-37.31593,-31.91704,1196.883786,890.4061435
MW873550,-38.30248473,-40.42635462,-35.39206,-29.70707,-38.75111,-38.92166,1355.603838,1200.948547
KJ508916,-38.49389238,-40.0479639,-28.565165,-8.868385,-28.291259,-28.9306,1099.584387,355.1607623
EPI561187,-38.49389238,-40.0479639,-28.562036,-8.835102,-28.289037,-28.944849,1099.46394,353.8278459
MN795001,-38.18584942,-40.52862982,-35.91948,-29.98384,-38.95387,-39.10155,1371.615855,1215.203952
EPI493452,-32.88060499,-37.42330792,-31.01455,-21.74297,-37.15324,-31.79856,1019.777167,813.6938614
EPI3395076,-38.36049291,-41.34309492,-34.30235,-23.83603,-42.27711,-40.60577,1315.855054,985.4552508
EPI3395180,-38.36049291,-41.34309492,-34.0651,-27.26473,-41.24913,-39.2282,1306.754027,1127.20832
EPI698515,-35.67010596,-40.12753753,-31.44924,-22.29627,-26.66313,-24.52798,1121.797723,894.6944112
EPI1353790,-35.64047763,-40.36246356,-31.09147,-22.04819,-20.65809,-19.60507,1108.114841,889.9192654
EPI567003,-35.63897946,-40.25447183,-20.48288,-25.6032,-45.56452,-45.93824,729.9889396,1030.643293
EPI3317786,-37.29194232,-37.93944858,-32.52767789,-36.45979282,-36.79894375,-31.48001223,1213.020288,1383.264435
EPI510418,-35.80021746,-40.38022581,-31.34087,-22.21567,-37.4251,-32.15624,1122.009961,897.0737711
MW676347,-35.80021746,-40.38022581,-31.23356,-22.11396,-37.42888,-32.14655,1118.16824,892.9666984
EPI4349,-38.98241155,-40.8092783,-20.11116,-28.31374,-32.15617,-32.02982,783.9815159,1155.463295
EPI401801,-38.40760863,-40.73121257,-35.83529,-29.89801,-38.93142,-39.07823,1376.347793,1217.782201
EPI447374,-38.39891992,-40.6102796,-31.34329,-22.19365,-39.25772,-33.6933,1203.548483,901.2903318
EPI624914,-35.7722017,-40.47091216,-32.56257,-36.54205,-32.28701,-38.4372,1164.834822,1478.890096
EPI1273078,-35.85777964,-40.32202719,-31.32239,-22.23202,-24.15535,-17.77729,1123.151358,896.4401149
LC167726,-35.85777964,-40.32202719,-31.27498,-21.96548,-24.81292,-12.53354,1121.451341,885.6926818
LC194823,-35.85777964,-40.32202719,-31.14092,-21.82134,-24.54955,-12.24102,1116.644247,879.8806648
MW333646,-38.17963086,-41.14345481,-28.83211,-9.18474,-28.39595,-29.09221,1100.799317,377.8919351
MW333286,-38.0517177,-41.12395466,-28.83211,-9.18474,-28.39595,-29.09221,1097.11131,377.7128313
EPI664629,-38.25436733,-40.5430118,-20.20858,-24.80355,-45.07336,-45.46756,773.0664425,1005.61062
OQ730487,-37.93736919,-41.51268144,-34.0758,-27.10127,-40.4751,-42.16798,1292.746205,1125.046388
OQ730456,-37.93736919,-41.51268144,-34.0758,-27.10127,-40.4751,-42.16798,1292.746205,1125.046388
EPI3509834,-37.90820413,-41.34962711,-34.47866,-24.04516,-42.60185,-40.92377,1307.024081,994.2583998
EPI3313274,-38.00509464,-41.70780433,-34.11096,-27.10755,-40.49212,-42.16883,1296.390263,1130.596391
MW333534,-38.12448888,-41.16023794,-36.02401,-30.44283,-38.98231,-39.1425,1373.396969,1253.034126
MW333542,-38.12448888,-41.16023794,-35.56871,-29.56515,-38.9622,-39.10772,1356.038889,1216.908609
EPI3316271,-38.07048261,-41.49923953,-33.91547,-23.34946,-42.09607,-40.44743,1291.178311,968.9848334
EPI527291,-36.30220669,-40.96282508,-31.43497,-22.32068,-37.4317,-32.08391,1141.158778,914.3181105
EPI3488167,-38.02603199,-41.56688441,-34.09499,-27.15488,-40.48336,-42.1716,1296.49718,1128.743758
EPI442757,-38.33890785,-40.89163916,-20.71939,-28.67099,-32.79376,-33.00077,794.3587839,1172.403777
EPI3434402,-38.03711685,-41.39936779,-34.12218,-23.67828,-42.17092,-40.49318,1297.909348,980.2658224
EPI3316583,-37.97926982,-41.30372732,-34.06319,-27.02997,-40.47363,-42.1628,1293.695084,1116.43851
MW333566,-38.1204095,-41.16531252,-35.64384,-29.63759,-39.1346,-39.22563,1358.757777,1220.040655
EPI493084,-34.02001694,-37.17505972,-31.67742,-22.54698,-37.53148,-31.93695,1077.666365,838.185328
EPI3316487,-38.14760786,-41.43712262,-34.10029,-23.59399,-42.14642,-40.478,1300.844491,977.6670567
EPI407283,-38.23871823,-40.70271787,-31.4343,-22.32548,-37.45052,-32.18252,1202.00734,908.7077138
EPI460462,-37.4984625,-39.90700518,-30.94853,-21.79547,-38.32996,-33.27022,1160.522292,869.7919342
EPI3298580,-38.09618509,-41.46858242,-30.4032,-27.85935,-40.28445,-41.78401,1158.245935,1155.287752
KM392379,-37.82337197,-41.1596004,-31.52499835,-22.37780038,-41.95518199,-31.75517428,1192.381739,921.0613215
EPI585428,-38.26425526,-41.03840314,-31.43081,-22.31854,-37.45184,-32.12241,1202.676537,915.917242
EPI356472,-38.2183502,-40.91998307,-20.3633,-28.3211,-32.60908,-32.70443,778.2517306,1158.898933
EPI942919,-38.50805996,-40.03573315,-36.27074,-30.2567,-38.85061,-39.04681,1396.715831,1211.349167
EPI3434290,-38.04979698,-41.60838293,-34.12218,-23.67828,-42.17092,-40.49318,1298.342022,985.2149414
EPI352323,-38.15751709,-40.69666633,-31.42938,-22.32187,-37.4474,-32.10829,1199.267104,908.4256953
EPI347297,-38.24964439,-41.63804682,-31.63587,-22.51186,-30.12675,-26.50176,1210.060777,937.3498807
EPI425787,-38.24964439,-41.63804682,-31.66683,-22.51104,-24.29227,-17.93978,1211.244986,937.3157375
EPI547699,-38.17037001,-40.96023785,-32.27408,-22.93548,-37.20157,-31.91785,1231.913575,939.442716
EPI595079,-38.29333324,-41.45660761,-28.61595,-9.042905,-29.398827,-29.815157,1095.800109,374.8881642
EPI509937,-38.25131049,-40.95965939,-20.80623,-28.67024,-32.83673,-33.02527,795.8655639,1174.323265
EPI487461,-38.25131049,-40.95965939,-19.94104,-28.38864,-32.97729,-33.11882,762.7709125,1162.789025
EPI442763,-38.25504286,-40.92163422,-19.79243,-28.17274,-30.30875,-32.2066,757.160258,1152.874561
MH546475,-39.26465382,-41.71655716,-35.78789,-29.96095,-38.99715,-39.13947,1405.199112,1249.867683
EPI595124,-38.37626512,-41.6475641,-28.532244,-8.833456,-28.299438,-28.935996,1094.96096,367.891925
EPI573672,-38.37626512,-41.6475641,-28.532244,-8.833456,-28.299438,-28.935996,1094.96096,367.891925
EPI431448,-38.46540312,-41.87296458,-35.86602,-29.82232,-38.45116,-38.63639,1379.600918,1248.748949
EPI486487,-38.29842454,-40.72226718,-20.03771,-28.44963,-32.84992,-32.97511,767.4127244,1158.533434
EPI3316159,-38.74778821,-42.08547303,-34.10029,-23.59399,-42.14642,-40.478,1321.310815,992.9642298
EPI3320837,-38.7439799,-41.93021058,-34.065,-26.96295,-40.47323,-42.16219,1319.813675,1130.562171
EPI3316727,-38.7439799,-41.93021058,-34.065,-26.96295,-40.47323,-42.16219,1319.813675,1130.562171
EPI3313802,-38.7439799,-41.93021058,-34.065,-26.96295,-40.47323,-42.16219,1319.813675,1130.562171
EPI3316455,-38.7439799,-41.93021058,-34.09948,-23.58583,-42.14493,-40.47657,1321.149568,988.9588186
EPI3395060,-38.22670859,-41.57353661,-34.08512,-27.09518,-40.4903,-42.17048,1302.961949,1126.442458
EPI3592957,-38.22670859,-41.57353661,-34.08512,-27.09518,-40.4903,-42.17048,1302.961949,1126.442458
EPI3549620,-38.22670859,-41.57353661,-33.8064,-26.79602,-40.38181,-42.05726,1292.307401,1114.005318
OQ733084,-38.22670859,-41.57353661,-34.1162,-27.18081,-38.93346,-45.28401,1304.150036,1130.0024
EPI3315927,-38.22670859,-41.57353661,-34.16179,-23.71908,-45.28059,-38.95395,1305.892791,986.0860407
OQ683458,-38.22670859,-41.57353661,-33.99722,-23.53281,-45.06364,-38.8962,1299.601822,978.3421381
EPI460478,-38.6328233,-40.55607972,-20.07429,-28.42868,-32.71201,-33.65707,775.5264984,1152.955812
EPI372239,-35.83198361,-40.50677656,-30.53001,-21.63659,-37.13792,-31.80875,1093.950818,876.4285167
EPI837653,-37.4991488,-39.71936039,-31.31505,-22.21702,-37.43443,-32.10939,1174.28772,882.4458242
EPI3315152,-38.33027004,-41.70817044,-34.63473,-38.08425,-41.92033,-40.3188,1327.558554,1588.42439
EPI643072,-38.83248322,-41.44583113,-20.88414,-28.78244,-32.88895,-33.04433,810.9830161,1192.912148
EPI961475,-38.14278836,-41.48741406,-28.30507,-8.640983,-28.956272,-29.17648,1079.634295,358.4920396
EPI954591,-38.14278836,-41.48741406,-28.26633,-8.585245,-28.946908,-29.124146,1078.156643,356.1796141
EPI907346,-38.14278836,-41.48741406,-28.236919,-8.604479,-28.936134,-29.141938,1077.034825,356.977583
EPI869926,-38.14278836,-41.48741406,-28.236919,-8.604479,-28.936134,-29.141938,1077.034825,356.977583
EPI873624,-38.14278836,-41.48741406,-28.249805,-8.623064,-28.937268,-29.142519,1077.526333,357.7486266
EPI836614,-38.14278836,-41.48741406,-28.301578,-8.776849,-28.974896,-29.184486,1079.5011,364.1287686
MN759487,-38.14278836,-41.48741406,-28.111181,-8.418922,-28.787827,-28.987201,1072.238827,349.279303
OL354574,-38.14278836,-41.48741406,-28.45854,-8.80151,-29.23597,-29.40032,1085.488068,365.1518897
EPI463680,-38.62275945,-40.46369401,-31.01977,-21.96169,-37.29763,-32.10051,1198.069115,888.6511041
EPI3555295,-38.26837365,-39.81948208,-34.12905,-23.69364,-42.16872,-40.49788,1306.063238,943.4684734
EPI487454,-38.47742072,-41.22226136,-32.34686,-23.02777,-37.1826,-31.90975,1244.623741,949.2567535
OQ732988,-38.78574338,-42.24304418,-30.4032,-27.85935,-40.28445,-41.78401,1179.210713,1176.863753
EPI770680,-38.52957645,-41.61661475,-30.85004,-21.78395,-20.86419,-21.78331,1188.638975,906.5742549
KP715072,-38.45868845,-41.55822497,-30.8912346,-21.64093377,-42.64542803,-31.33798491,1188.036367,899.3587942
EPI493246,-34.55585206,-39.06035346,-31.02698,-21.71833,-37.13893,-31.77499,1072.163731,848.3256464
EPI341634,-38.61007796,-41.49846586,-20.09162,-28.42439,-22.38455,-26.08499,775.7390145,1179.568578
MK849807,-38.35535291,-42.0630079,-24.1071,-22.73031,-34.48408,-33.39071,924.6363281,956.1052091
